id;start_date;end_date;language;country;adult_number;child_number;flexibility_on_days
1;2024-10-15T07:18:12;2024-10-15T09:56:11;ENGLISH;Papua New Guinea;11421;10406;13091
2;2024-10-15T01:57:24;2024-10-14T21:38:30;ENGLISH;French Guiana;5110;11455;10946
3;2024-10-14T21:16:39;2024-10-14T19:26:32;ENGLISH;El Salvador;31465;26997;9756
4;2024-10-15T09:34:17;2024-10-14T18:18:58;ENGLISH;Angola;6917;23211;15013
5;2024-10-15T15:08:25;2024-10-14T18:19:27;SPANISH;Finland;1756;16513;16295
6;2024-10-14T16:47:36;2024-10-15T09:53:57;ENGLISH;Ethiopia;18351;26639;21841
7;2024-10-15T15:19:04;2024-10-15T02:49:20;ENGLISH;Eritrea;3818;5496;7070
8;2024-10-15T02:01:37;2024-10-14T22:54:39;FRENCH;Gabon;30970;8794;19933
9;2024-10-15T14:10:11;2024-10-15T04:39:42;FRENCH;Somalia;29671;13263;25759
10;2024-10-14T22:29:27;2024-10-15T08:30:28;ITALIEN;Saint Helena;3734;4435;17441
